Mold,Head,Pattern,Throat,Beam,Manufacturer,Name,Owned by Tommi,Tommi wants this,Year,DescriptionTommi,Description,Layup,Made in Austria,Designed in Austria,Info from,Image
Elliptic,98,16x20,3,25/23/21,Fischer,Elliptic SL,0,0,1990,,"White, Blue, Cyan text",Kevlar graphite,1,0,,Elliptic/Elliptic_SL.PNG
Elliptic,98,16x20,3,25/23/21,Fischer,Vacuum Elliptic Pro,1,0,1990,Gem from 1990 is absolute joy to play...for 15 minutes. After that it just starts to feel heavy.,"Green, yellow vestoran bumper",SiC Ceramics graphite,1,0,,Elliptic/Vacuum_Elliptic_Pro_MIA.JPG
Elliptic,98,16x20,3,25/23/21,Fischer,Elliptic,0,0,1991,,"Black/Purple, NDurr0",Graphite performance,1,0,,Elliptic/1992_Elliptic_MIA_Durr0.jpg
Elliptic,98,16x20,3,25/23/21,Fischer,Elliptic Comp (Kevlar),1,0,1991,Okay frame from 1991. Kevlar layup is not my favorite.,Black/Purple,Kevlar graphite,1,0,,Elliptic/Elliptic_Comp_Kevlar_91_MIA.JPG
Elliptic,98,16x20,3,25/23/21,Fischer,Elliptic Comp (SiC),1,0,1991,"Had this frame from about 1992, so it is not hard to guess why I love it. Best graphics ever.",Smoky 91',SiC Ceramics graphite,1,0,,Elliptic/Elliptic_Comp_Sic_91_own1b.JPG
Elliptic,98,16x20,3,25/23/21,Fischer,Elliptic Fun,0,0,1991,,"Smoky, some blue (Looks Elliptic Fun, actually)",Graphite performance (?),1,0,,Elliptic/Elliptic_Something_MIA.jpg
Elliptic,98,16x20,3,25/23/21,Fischer,Elliptic Kevlar,1,0,1991,"I wish I liked more of this 1991 beauty. Tried customising with lead tape etc., but not among my favorites.",Smoky blue 91',Kevlar graphite,1,0,,Elliptic/Elliptic_Kevlar_91.JPG
Elliptic,98,16x20,3,25/23/21,Fischer,Vacuum Elliptic,0,1,1991,Beauty in 1991 classic color. Would surely like to have one.,"Smoky 91', purple",Kevlar graphite,1,0,,Elliptic/1991_vacuum_elliptic_2.png
Elliptic,98,16x20,3,25/23/21,Fischer,Elliptic,0,0,1992,,"Solid greyish purple, NDurr0",Graphite performance,1,0,,Elliptic/1990x_Elliptic.jpg
Elliptic,98,16x20,3,25/23/21,Fischer,Elliptic,0,0,1992,,"Ugly smoky Durr2, DIA",Graphite performance,0,0,,Elliptic/1993_Elliptic_DIA_Durr2.jpg
